unit_id,manufacturer,tag,官网仪器详情页,仪器名称,仪器参数,仪器照片url,仪器详情,抓取状态
553,Tektronix,示波器,https://www.tek.com/en/products/oscilloscopes/mso5000-dpo5000,Tektronix DPO5000 数字荧光示波器,"带宽:350 MHz至2 GHz;采样率:最高10 GS/s;模拟通道:4;记录长度:最高250 M点;波形捕获速率:>250,000 wfms/s;显示屏:10.4英寸XGA",https://www.tek.com/sites/default/files/media/image/DPO5000.jpg,"Tektronix DPO5000系列是高性能数字荧光示波器,采用数字荧光技术实现实时信号可视化。提供350 MHz至2 GHz带宽型号,最高10 GS/s采样率,250 M点记录长度。具备FastAcq高速波形捕获、Wave Inspector波形导航、53种自动测量功能。支持I2C、SPI、CAN、USB等多种串行总线分析,内置Windows操作系统,适用于复杂系统调试与验证。该系列已停产,推荐替代产品为5 Series B MSO。",ok
554,Tektronix,示波器,https://www.tek.com/en/datasheet/dpo-dsa70000-series,Tektronix DSA70000 数字串行分析仪,"带宽:4 GHz至20 GHz;采样率:25-50 GS/s(全4通道);通道数:4;垂直分辨率:8位(平均11位);标准记录长度:20 M样本/通道;波形捕获速率:>300,000 wfms/s;显示屏:12.1英寸XGA触摸屏",https://www.tek.com/sites/default/files/media/image/A001_0761-L.jpg,"Tektronix DSA70000系列是专为高速串行数据分析设计的实时数字串行分析仪,提供从4 GHz到20 GHz的带宽选择。DSA70404(4 GHz)、DSA70604(6 GHz)、DSA70804(8 GHz)、DSA71254(12.5 GHz)、DSA71604(16 GHz)及DSA72004(20 GHz)等型号,可满足PCIe、USB、SATA等高速串行标准的一致性测试、信号完整性分析和抖动分析需求。",ok
555,Tektronix,示波器,https://www.tek.com/en/products/oscilloscopes/mso5000-dpo5000,Tektronix MSO5000 混合信号示波器,"带宽:350 MHz至2 GHz;采样率:最高10 GS/s;模拟通道:4;数字通道:16;记录长度:最高250 M点;波形捕获速率:>250,000 wfms/s;显示屏:10.4英寸XGA",https://www.tek.com/sites/default/files/media/image/MSO5000.jpg,"Tektronix MSO5000系列是高性能混合信号示波器,在DPO5000系列基础上标配16条数字时序通道。提供350 MHz至2 GHz带宽,最高10 GS/s采样率,250 M点记录长度。支持同时解码多达16路串行和并行总线,集成I2C、SPI、CAN、LIN、USB等协议分析。具备FastAcq、Wave Inspector和53种自动测量功能,适用于嵌入式系统和混合信号设计的调试验证。该系列已停产。",ok
556,Tektronix,示波器,https://www.tek.com/en/datasheet/dpo-dsa70000-series,Tektronix MSO70000 混合信号示波器,带宽:4 GHz至33 GHz;采样率:25-100 GS/s;模拟通道:4;数字通道:支持混合信号;标准记录长度:20 M样本/通道;显示屏:12.1英寸XGA触摸屏,https://www.tek.com/sites/default/files/media/image/A001_0761-L.jpg,"Tektronix MSO70000系列是高端混合信号示波器,结合高带宽模拟通道与数字通道,提供从4 GHz到33 GHz的带宽选择。旗舰型号MSO73304DX带宽达33 GHz,采样率100 GS/s。采用pinpoint触发系统和iCapture架构,支持高速串行数据分析、信号完整性测试及USB、PCIe、HDMI等标准一致性验证。适用于前沿信号完整性和高速通信研究应用。",ok
557,Tektronix,示波器,https://www.tek.com/en/oscilloscope/tps2000,Tektronix TPS2012 数字存储示波器,带宽:100 MHz;通道数:2(隔离通道);采样率:1 GS/s;记录长度:2.5K点;时基范围:5 ns至50 s/div;自动测量:11种;电池续航:最长8小时,https://www.valuetronics.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/P/TPS2012_1.jpg,"Tektronix TPS2012是TPS2000系列便携式数字存储示波器,具有100 MHz带宽、2个隔离输入通道和1 GS/s采样率。隔离通道技术使通道间相互独立,可安全进行浮地差分测量。支持热插拔电池供电,可连续工作8小时。配备数字实时采样(DRT)技术,内置FFT功能,支持CompactFlash存储和OpenChoice软件,适用于现场服务、电力电子调试和通用台式测量。该系列已停产。",ok
558,Weinschel,射频衰减器,https://www.spectrumcontrol.com/products/subsystems/rf-distribution/programmable-switches--attenuators/attenuator-subsystems/8320-multi-atten-system/,Weinschel 8320 多通道可编程衰减器系统,频率范围:DC至18 GHz;衰减范围:0-127 dB;步进精度:1 dB;通道数:1至4通道;阻抗:50Ω;接口:IEEE 488.2(GPIB);安装方式:半机架机箱,https://www.spectrumcontrol.com/media/1234/8320.jpg,"Weinschel 8320系列是API Technologies(现Spectrum Control)生产的多通道可编程射频衰减器系统。采用半机架机箱设计,可配置1至4个衰减通道,频率覆盖DC至18 GHz。支持前面板、后面板或前后贯通的RF连接方式,使用IEEE 488.2兼容的消息命令集进行编程控制。适用于自动化测试设备(ATE)系统、RF分配、信号模拟和测试仿真等应用场景。",ok
559,Zurich Instruments,锁相放大器,https://www.zhinst.com/products/hf2li,Zurich Instruments HF2LI 50 MHz锁相放大器,频率范围:DC至50 MHz;信号输入:2路差分电压输入;解调器:最多6个同步谐波解调器;信号输出:2路;动态储备:>120 dB;输入电压噪声:~5 nV/√Hz,https://assets.zhinst.com/sites/default/files/styles/website_content_large/public/images/2020-01/hf2li_persp.png.webp,"Zurich Instruments HF2LI是一款频率覆盖DC至50 MHz的数字锁相放大器,专为MEMS器件(如陀螺仪)表征和微流控测量而设计。具备2路差分电压信号输入和最多6个同步解调器,支持多频测量。配备LabOne控制软件,提供基于Web的用户界面,集成频谱分析仪、参数扫描器和示波器功能。可选配多频、AM/FM调制、双PLL和四路PID控制器等升级选项。",ok
560,Zurich Instruments,量子计算控制器,https://www.zhinst.com/en/products/pqsc,Zurich Instruments PQSC 可编程量子系统控制器,ZSync端口:18个;微波通道支持:最多144通道;反馈延迟:<550 ns;固定频率量子比特规模:最多100个;可调频率量子比特规模:最多60个;处理核心:FPGA;软件接口:LabOne Q(Python API),https://assets.zhinst.com/sites/default/files/styles/website_content_large/public/images/2020-09/PQSC_schraeg_rackmounts_1800.png.webp,"Zurich Instruments PQSC是可编程量子系统控制器,作为QCCS量子计算控制系统的中枢,通过18个ZSync端口实现自动化仪器同步和低延迟通信。采用星型拓扑架构实现全局量子比特状态评估,反馈延迟低于550 ns,支持量子纠错协议。兼容HDAWG、SHFQC、SHFQA和SHFSG等仪器,支持即插即用操作和自动校准。通过LabOne Q软件框架进行Python编程控制。",ok
561,Zurich Instruments,量子分析仪,https://www.zhinst.com/en/products/shfqa-quantum-analyzer/,Zurich Instruments SHFQA+ 8.5 GHz量子分析仪,频率范围:DC至8.5 GHz;瞬时带宽:1 GHz;读出通道:2或4;量子比特读出:最多64个(每通道16个);ADC:14位/4 GSa/s;DAC:14位/6 GSa/s;量子三态:最多32个(每通道8个),https://assets.zhinst.com/sites/default/files/styles/website_content_large/public/images/2024-03/shfqa_schraeg.jpg.webp,"Zurich Instruments SHFQA+是8.5 GHz量子分析仪,集信号生成与分析于一体,实现超导和自旋量子比特的实时读出。每个读出通道可分析最多16个量子比特,4通道版本总共支持64个量子比特的实时多态判别。采用双超外差变频技术,无需混频器校准。配备匹配滤波器和低延迟信号处理链,实现最优信噪比。通过ZSync接口与QCCS系统集成,支持LabOne Q软件控制。",ok
562,Zurich Instruments,信号发生器,https://www.zhinst.com/en/products/shfsg-signal-generator,Zurich Instruments SHFSG+ 8.5 GHz信号发生器,频率范围:DC至8.5 GHz;输出带宽:1 GHz(无杂散调制);DAC分辨率:14位;采样率:6 GSa/s;通道选项:2/4/8输出通道,https://assets.zhinst.com/sites/default/files/styles/website_content_large/public/images/2024-03/shfsg_8_schraeg.jpg.webp,"Zurich Instruments SHFSG+是8.5 GHz多通道信号发生器,专为超导量子比特控制设计。采用双超外差上变频技术,无需混频器校准,大幅减少系统调试时间。14位DAC分辨率,6 GSa/s采样率,输出噪声密度低、相位噪声低,可实现高保真度量子门操作。提供2/4/8通道配置,每通道配备实时排序器,支持低延迟脉冲生成。通过QHub实现多台设备同步组网。",ok
563,Zurich Instruments,锁相放大器,https://www.zhinst.com/en/products/uhfli-lock-in-amplifier/,Zurich Instruments UHFLI 600 MHz锁相放大器,频率范围:DC至600 MHz;采样率:1.8 GSa/s;解调器:最多8个同步谐波;最小时间常数:30 ns;解调带宽:>5 MHz;信号输入:2路;ADC分辨率:12位;输入噪声:4 nV/√Hz;动态储备:100 dB,https://assets.zhinst.com/sites/default/files/styles/website_content_large/public/images/2020-01/UHFLI_persp_0.png.webp,"Zurich Instruments UHFLI是DC至600 MHz数字锁相放大器,时间常数低至30 ns,解调带宽超过5 MHz。具备2路信号输入和2路信号输出,等效提供2台锁相放大器。支持8个同步谐波解调,配备硬件和软件触发功能。可选配多频(UHF-MF)、AM/FM调制、PID/PLL控制器、BoxCar平均器、任意波形发生器和数字化仪等升级选项。通过LabOne软件实现平台无关的仪器控制。",ok
564,Agilent/Keysight,频谱分析仪,https://www.keysight.com/us/en/product/N9000A/cxa-signal-analyzer-9khz-26-5ghz.html,Agilent N9000A CXA信号分析仪,频率范围:9 kHz至26.5 GHz;分析带宽:10 MHz(可升级25 MHz);处理器:单核高性能;内存:4 GB;存储:可拆卸固态硬盘;幅度精度:±0.40 dB,https://keysight-h.assetsadobe.com/is/image/content/dam/keysight/en/img/prd/scopes-analyzers-meters/spectrumanalyzers/x-series/n9000b/N9000B_CXA_15_1600x900.png,"Agilent N9000A CXA是X系列入门级信号分析仪,频率覆盖9 kHz至26.5 GHz,提供基本信号表征所需的关键功能。内置频谱分析测量应用,支持模拟解调、噪声系数、相位噪声、矢量信号分析和EMI预合规等X系列测量应用扩展。可选配跟踪源实现低成本激励响应测量。该型号现已停产(Obsolete),替代产品为N9000B CXA信号分析仪。原为Agilent产品,现归属Keysight Technologies。",ok
565,Aim-TTi,直流电源,https://www.aimtti.com/product-category/dc-power-supplies/aim-el-rseries,Aim-TTi EL320P 线性直流电源,输出电压:0-30V;输出电流:0-2A;输出功率:60W;输出数:单路;调节方式:线性调节;输出噪声:<1 mV rms;接口:RS-232;冷却方式:无风扇静音对流散热,https://www.aimtti.com/sites/default/files/EL302P-1000px.jpg,"Aim-TTi EL320P(属EL-R系列)是一款紧凑型线性调节直流电源,输出范围0-30V/0-2A,最大功率60W。采用线性调节技术,确保优异的线性/负载调节特性、良好的瞬态响应和极低输出噪声。具备恒压(CV)和恒流(CC)自动切换模式,配备4位电压表和3位电流表。支持RS-232远程编程控制,无风扇静音冷却设计,关机时自动保存电压、电流和输出状态设置。",ok
566,Ametek,锁相放大器,https://www.ameteksi.com/-/media/ameteksi/download_links/documentations/7270/model_7270.pdf,Ametek 7270 DSP锁相放大器,频率范围:1 mHz至250 kHz;全量程灵敏度:2 nV至1V;动态储备:>100 dB;电压设定分辨率:1 μV;偏置:±300% F.S.;接口:RS-232/USB/以太网,https://www.ameteksi.com/media/images/products/7270.jpg,"Ametek Signal Recovery 7270是通用型DSP数字信号处理锁相放大器,频率范围1 mHz至250 kHz。具备双参考/双谐波检测功能,可同时测量两个不同频率的信号,支持串联解调模式。信号输入放大器可设置为单端或差分电压模式及单端电流模式。内置频谱显示模式,方便选择参考频率时避开干扰信号。快速捕获模式可存储100,000个数据点。通过RS-232、USB和以太网实现远程控制。",ok
567,Andor,光谱仪CCD探测器,https://andor.oxinst.com/products/idus-spectroscopy-cameras/idus-420,Andor iDus 4xx 光谱CCD相机,传感器阵列:1024x255像素(iDus 420)/2000x256像素(iDus 416);像素尺寸:26μm(420)/15μm(416);峰值量子效率:95%;TE制冷:低至-100°C(420)/-95°C(416);连接:USB 2.0,https://andor.oxinst.com/assets/uploads/products/andor/images/Images/idus-420-product.png,"Andor iDus 4xx系列是Oxford Instruments旗下的科学级光谱CCD相机系列,包括iDus 401、416和420等型号。iDus 420配备1024x255像素传感器,支持前照、背照和深耗尽多种传感器选项,优化UV到近红外全波段性能;iDus 416配备2000x256像素传感器,专为近红外优化。全系列采用UltraVac真空密封技术确保长期性能稳定,支持Solis光谱软件和SDK(MATLAB、LabVIEW、C/C++)。",ok
568,Copper Mountain,矢量网络分析仪,https://coppermountaintech.com/discontinued-s5048-2-port-4-8-ghz-analyzer/,Copper Mountain S5048 矢量网络分析仪,频率范围:20 kHz至4.8 GHz;端口数:2;动态范围:140 dB;测量速度:10 μs/点;输出功率:+10 dBm;接口:USB 3.0;重量:1.3 kg;测量参数:S11/S21/S12/S22,https://coppermountaintech.com/wp-content/uploads/2020/06/disS5048.png,"Copper Mountain S5048是紧凑型便携式矢量网络分析仪,频率覆盖20 kHz至4.8 GHz,仅重1.3 kg,可电池供电。由RF测量模块和S2软件组成,通过USB连接Windows或Linux PC运行。动态范围达140 dB,提供时域门控、嵌入/去嵌入、频偏模式等完整分析功能。支持Python、MATLAB、LabVIEW等自动化接口。该产品已于2020年6月30日停售。",ok
569,Cryogenic,磁铁电源,http://www.cryogenic.co.uk/products/superconducting-magnet-power-supplies,Cryogenic SMS120C 超导磁铁电源,最大输出电流:±120A;输出电压:约±5V;电流分辨率:16位+符号;稳定性:约20 ppm/K/hr;控制接口:USB;高分辨率选项:20位DAC(3 ppm/K);四象限操作,https://www.cryogenic.co.uk/sites/default/files/images/products/sms.jpg,"Cryogenic SMS120C是英国Cryogenic Limited生产的SMS系列智能超导磁铁电源控制器,最大输出电流±120A。具备四象限操作能力,可实现线性磁场扫描平滑过零。前面板手动控制与USB远程控制兼备,支持LabVIEW软件集成。内置持续开关加热器控制、失超检测保护和自动降流功能。可选配高分辨率20位DAC(3 ppm/K稳定性)和电流传感器输出。适用于各类超导磁铁系统操控。",ok
570,Cryomagnetics,液位计,https://cryomagnetics.com/product-category/instrumentation/lm-500-liquid-cryogen-level-monitor/,Cryomagnetics LM-500 液态低温液位计,测量类型:超导线液位传感(液氦)/电容或电阻传感(液氮);通道数:多通道;精度:±0.1% F.S.;显示:数字读数;输出:模拟0-5V/0-10V;接口:RS-232/GPIB;报警:高/低液位报警,https://cryomagnetics.com/wp-content/uploads/2022/05/LM-500.jpg,"Cryomagnetics LM-500是液态低温介质液位监测仪,用于测量低温储罐和恒温器中的液氦(LHe)和液氮(LN2)液位。支持多通道同时监测,精度达±0.1%满量程。具备数字显示、模拟输出和RS-232/GPIB远程控制接口。内置高低液位报警功能,可配置自动补液控制。兼容Cryomagnetics各种长度的超导液位传感器,广泛用于MRI磁体、超导磁体系统和低温物理研究实验中的低温介质管理。",ok
571,Cryomagnetics,磁铁电源,https://cryomagnetics.com/products/model-4g-bipolar-power-supplies-superconducting-magnets/,Cryomagnetics Model 4G 超导磁铁电源,型号选择:4G-100(±100A)/4G-150(±150A)/4G-200S(±200A);最大输出电压:±10V;最大功率:800-1650W;电流可设定性:0.1 mA;稳定性:±0.005% Imax;快速扫描:最高10 A/s;接口:USB/以太网/IEEE-488.2,https://cryomagnetics.com/wp-content/uploads/2022/05/Model_4G-100_100Amp_Superconducting_Magnet_Power_Supply_Front-300x83-1.jpg,"Cryomagnetics Model 4G是第四代双极性超导磁铁电源,专为超导磁铁高感性负载优化设计。全系列为四象限真双极系统,可平滑扫描过零。PID控制扫描,电流可设定分辨率0.1 mA。内置持续开关加热器电源、失超检测保护和自动降流功能。配备彩色TFT LCD显示屏,支持USB、以太网和IEEE-488.2接口。提供4G-100(±100A)、4G-150(±150A)和4G-200S(±200A)等多个功率等级,可选配磁场匀场控制功能。",ok
572,Daylight Solutions,中红外激光器,https://www.daylightsolutions.com/products/mircat/,Daylight Solutions MIRcat 可调谐中红外激光系统,"波长覆盖:约4 μm至>13 μm;调谐范围:最大1400 cm⁻¹(4模块);调谐速度:>30,000 cm⁻¹/s;峰值功率:最高1W;平均功率:最高0.5W;波长重复性:<0.1 cm⁻¹;CW RIN:<-140 dBc/Hz;模块数:最多4个QCL模块",https://www.daylightsolutions.com/wp-content/uploads/sites/3/2024/04/MIRcat.png,"Daylight Solutions MIRcat是基于外腔量子级联激光器(EC-QCL)技术的宽调谐中红外激光系统,现归属Leonardo DRS。单系统可集成最多4个可调谐激光模块,实现约4 μm到13 μm以上的超宽光谱覆盖。支持脉冲和连续波(CW)两种工作模式,调谐速度超过30,000 cm⁻¹/s。提供扫描模式、步进测量模式和多光谱模式三种波长调谐方式。输出单一TEM00模式光束,适用于分子光谱、遥测爆炸物检测和高光谱成像。",ok
573,Gentec,光功率计,https://www.gentec-eo.com/products/maestro,Gentec Maestro 激光功率能量计,"显示屏:5.6英寸彩色触摸LCD(640x480);兼容探测器:热电堆/热释电/光电二极管/太赫兹;设备精度:0.25%±5μV(功率)/±1%(能量);重复率:最高10,000 Hz(采样);模拟输出:0-1V;接口:USB/以太网/RS-232;电池续航:6.5小时;重量:0.67 kg",https://genteceofiles.blob.core.windows.net/prod/1efb5847/maestro.png,"Gentec Maestro是触摸屏激光功率和能量测量显示仪,单通道设计,兼容Gentec-EO全系列热电堆、热释电、光电二极管和太赫兹探测器。配备5.6英寸640x480像素18位彩色触摸LCD,支持实时显示、示波器模式、统计分析和数字调谐针等多种显示方式。提供USB、以太网和RS-232多种通信接口及模拟输出。内置可充电镍氢电池,续航6.5小时,支持便携使用。可通过USB存储设备保存数据。",ok
574,Holzworth,信号发生器,https://holzworth.com/products/rf-synthesizers/hs9000-series,Holzworth HS9000 多通道射频合成器,频率范围:250 kHz至6.7 GHz;通道数:1至8通道(每1U机箱)/最高16通道(窄带配置);相位相干:100%通道间相位相干;平均功耗:7W/通道;安装方式:1U 19英寸机架;架构:非PLL专有合成技术,https://maurymw.com/wp-content/uploads/hs9100-series-01.jpg,"Holzworth HS9000系列(现更新为HS9100系列)是高性能多通道射频合成器平台,采用专有非PLL合成架构,实现业界领先的低相位噪声和快速切换。每台1U机箱可配置1至8个独立可调通道,各通道频率范围可独立指定。集中式参考分配子系统确保所有通道100%相位相干。无风扇传导冷却机箱设计,最小化通道间温度梯度,确保最佳信号稳定性。适用于粒子加速器时钟、卫星定位跟踪等高精度应用。",ok
525,Keysight,矢量网络分析仪,https://www.keysight.com/us/en/product/P5004B/streamline-series-usb-vector-network-analyzer.html,Keysight P5004B USB矢量网络分析仪,频率范围: 9 kHz - 20 GHz;端口数: 2;最大输出功率: 10 dBm;接口: Thunderbolt 3;分辨率: 14位;动态范围: >120 dB,https://keysight-h.assetsadobe.com/is/image/content/dam/keysight/en/img/migrated/scene7/products/wn/PROD-2973892-01.png,Keysight P5004B是Streamline系列紧凑型无面板USB矢量网络分析仪，频率覆盖9 kHz至20 GHz，采用Thunderbolt 3接口实现高吞吐量数据传输。该仪器提供灵活的双端口全S参数测量能力，支持电子校准(ECal)模块，与Keysight高性能VNA共享相同GUI和SCPI命令集。可级联两台VNA扩展测试端口，适用于射频组件开发、信号完整性测试和生产测试等应用场景。,ok
526,Keysight,矢量网络分析仪,https://www.keysight.com/us/en/product/P9374A/streamline-usb-vector-network-analyzer-20-ghz.html,Keysight P9374A USB矢量网络分析仪,频率范围: 300 kHz - 20 GHz;端口数: 2(可扩展至4端口）;最大输出功率: 7 dBm;接口: USB 3.0;最大源数: 1,https://keysight-h.assetsadobe.com/is/image/content/dam/keysight/en/img/migrated/scene7/products/wn/PROD-2916419-01.png,Keysight P9374A是Streamline系列紧凑型USB矢量网络分析仪，频率覆盖300 kHz至20 GHz，内置2端口可扩展至4端口。该仪器通过USB连接PC进行控制，无需独立显示器，体积小巧便于携带。支持全部Keysight电子校准模块，提供与高性能VNA系列相同的测量精度和GUI界面，适用于组件特性分析、滤波器/放大器/电缆/天线测试等射频测量应用。,ok
527,Mini-Circuits,射频开关,https://www.minicircuits.com/WebStore/dashboard.html?model=RC-2SP4T-A18,Mini-Circuits RC-SP4T 射频开关矩阵,开关类型: SP4T吸收式机械开关;频率范围: DC - 18 GHz;阻抗: 50Ω;隔离度: 85 dB典型;功率容量: 20W(冷切换);可靠性: 1000万次切换;连接器: SMA;控制方式: USB/以太网,https://www.minicircuits.com/images/case_style/MR1937.png,Mini-Circuits RC-SP4T系列是USB和以太网控制的SP4T射频开关矩阵，采用吸收式电磁机械开关设计，频率覆盖DC至18 GHz。开关采用先断后通(break-before-make)配置，切换时间25 ms典型值，插入损耗0.2 dB典型，隔离度85 dB典型。紧凑金属外壳设计，配备SMA连接器、USB Type-B端口和RJ45网络接口，支持Windows/Mac/Linux系统控制，适用于自动化测试系统中的射频信号路由。,ok
528,Mini-Circuits,射频开关,https://www.minicircuits.com/WebStore/dashboard.html?model=RC-1SPDT-A18,Mini-Circuits RC-SPDT 射频开关,开关类型: SPDT吸收式机械开关;频率范围: DC - 18 GHz;阻抗: 50Ω;隔离度: 85 dB典型;功率容量: 40W(冷切换);可靠性: 500万次切换;连接器: SMA;控制方式: USB/以太网,https://www.minicircuits.com/images/model/RC-1SPDT-A18.png,Mini-Circuits RC-SPDT是USB和以太网控制的单刀双掷(SPDT)射频机械开关，采用吸收式设计，频率覆盖DC至18 GHz。该开关具有高功率处理能力达40W（冷切换），隔离度85 dB典型值，可靠性达500万次切换循环。紧凑金属外壳，配备SMA连接器，支持通过USB或以太网从PC或远程网络进行控制，适用于测试测量系统、信号路由和射频通信等应用。,ok
529,Mini-Circuits,射频衰减器,https://www.minicircuits.com/WebStore/dashboard.html?model=RUDAT-13G-90,Mini-Circuits RUDAT-13G-90 可编程射频衰减器,频率范围: 10 MHz - 13 GHz;衰减范围: 0 - 90 dB;衰减步进: 0.5 dB;连接器: SMA;阻抗: 50Ω;控制方式: USB/以太网,https://www.minicircuits.com/images/model/RUDAT-13G-90.png,Mini-Circuits RUDAT-13G-90是一款高频USB/以太网可编程射频衰减器，频率覆盖10 MHz至13 GHz，提供0至90 dB的宽衰减范围和0.5 dB的精细分辨率。支持通过USB和以太网两种接口进行控制，兼容Mini-Circuits免费GUI软件和SCPI命令，并提供API/DLL用于集成LabVIEW、MATLAB、Python等自定义软件。紧凑桌面式设计，配备SMA连接器，广泛用于自动化测试系统中的信号电平控制和接收机灵敏度测试。,ok
530,Mini-Circuits,射频开关,https://www.minicircuits.com/WebStore/dashboard.html?model=USB-1SPDT-A18,Mini-Circuits USB-SPDT 射频开关,开关类型: SPDT吸收式;频率范围: DC - 18 GHz;阻抗: 50Ω;隔离度: 50-80 dB;切换速度: ~25 ms;连接器: SMA;控制方式: USB;供电: USB供电（无需外部电源）,https://www.minicircuits.com/images/model/USB-1SPDT-A18.png,Mini-Circuits USB-SPDT是一款USB控制的单刀双掷(SPDT)射频开关，频率覆盖DC至18 GHz，阻抗50Ω。该开关通过USB接口即插即用，无需外部电源供电，操作简便。配备SMA连接器，隔离度50-80 dB，切换速度约25 ms。附带Mini-Circuits GUI控制软件，支持通过DLL/API进行编程控制，兼容LabVIEW、MATLAB、Python等开发环境，适用于实验室和生产线自动化测试系统中的射频信号切换。,ok
531,Quantum Design,物性测量系统,https://qdusa.com/products/dynacool.html,Quantum Design DynaCool 物性测量系统(PPMS),温度范围: 1.8 K - 400 K;磁体选项: 9 T / 12 T / 14 T超导磁体;冷却方式: 无液氦脉冲管制冷;真空度: <10⁻⁴ Torr;电子架构: CAN总线,https://qdusa.com/images/products/DynaCool_400x400.jpg,Quantum Design PPMS DynaCool是一套无液氦制冷的自动化材料特性表征系统，采用单级双级脉冲管制冷器同时冷却超导磁体和温控系统，提供低振动测量环境。温度范围1.8 K至400 K，可选9 T、12 T或14 T超导磁体。支持多种测量选件，包括振动样品磁强计(VSM)、比热、交直流电输运、热输运、交流磁化率等。可通过稀释制冷机扩展至50 mK超低温测量，广泛应用于材料电学、热学、磁学特性研究。,ok
532,Rigol,信号发生器,https://www.rigolna.com/products/waveform-generators/dg1000z/,Rigol DG1062Z 函数/任意波形发生器,正弦波频率: 60 MHz;通道数: 2;采样率: 200 MSa/s;垂直分辨率: 14位;波形存储: 8M点;频率稳定度: ±1 ppm;内置波形: 160+种,https://www.rigolna.com/images/products/DG1000Z.jpg,Rigol DG1062Z是一款双通道60 MHz函数/任意波形发生器，采用RIGOL创新SiFi(信号保真)技术实现逐点波形生成，有效降低传统DDS信号源的抖动至200 ps。具备14位垂直分辨率和200 MSa/s采样率，内置160余种标准波形。支持AM/FM/PM/ASK/FSK/PSK/PWM调制，具有扫频、脉冲串、谐波发生(8次)和7位频率计数器等功能，适用于教育、研发和生产测试等多种环境。,ok
533,Rigol,信号发生器,https://www.rigolna.com/products/waveform-generators/dg4000/,Rigol DG4000系列 函数/任意波形发生器,正弦波频率: 最高200 MHz;通道数: 2;采样率: 500 MSa/s;垂直分辨率: 14位;任意波形长度: 16K点;内置波形: 150种;噪声带宽: 120 MHz,https://www.rigolna.com/images/products/DG4000.jpg,Rigol DG4000系列是多功能信号发生器，集函数发生、任意波形发生、脉冲发生、谐波发生（最高16次）、模拟/数字调制和频率计于一体。采用DDS技术产生稳定精确的低失真信号，双通道性能相同，支持通道间频率/幅度/相位耦合。配备7英寸高分辨率显示屏，支持AM/FM/PM/ASK/FSK/PSK/PWM等多种调制方式，具有线性/对数/步进扫描功能，标配LXI-C以太网、USB接口。,ok
534,Rigol,直流电源,https://www.rigolna.com/products/dc-power-loads/dp800/,Rigol DP821 可编程线性直流电源,通道数: 2;总功率: 140W;CH1: 0-60V/0-1A(60W);CH2: 0-8V/0-10A(80W);纹波噪声: <350μVrms/2mVpp;瞬态响应: <50μs;显示: 3.5英寸TFT,https://beyondmeasure.rigoltech.com/cdnr/forpci73/acton/attachment/1579/f-7df273a2-be90-4c09-8641-d8d24c2c34c5/1/-/-/-/-/DP832A.png,Rigol DP821是DP800系列双通道可编程线性直流电源，总功率140W，提供0-60V/1A和0-8V/10A两个输出通道。具有超低纹波噪声(<350μVrms/2mVpp)和快速瞬态响应(<50μs)设计。内置定时输出功能，支持最多2048组电压/电流编程。配备3.5英寸TFT显示屏，支持实时电压/电流/功率监测和波形显示。提供USB、LAN(LXI)和RS-232接口，支持SCPI远程编程和OVP/OCP保护功能。,ok
535,Rigol,直流电源,https://www.rigolna.com/products/dc-power-loads/dp800/,Rigol DP831 可编程线性直流电源,通道数: 3;总功率: 160W;CH1: 0-8V/5A;CH2: 0-30V/2A;CH3: 0-(-30V)/2A;纹波噪声: <350μVrms/2mVpp;瞬态响应: <50μs;接口: USB/LAN/RS-232/GPIB,https://beyondmeasure.rigoltech.com/cdnr/forpci73/acton/attachment/1579/f-7df273a2-be90-4c09-8641-d8d24c2c34c5/1/-/-/-/-/DP832A.png,Rigol DP831是DP800系列三通道可编程线性直流电源，总功率160W，提供8V/5A、30V/2A和-30V/2A三路输出，其中一个通道隔离设计。具有超低纹波噪声和快速瞬态响应能力，内置OVP/OCP/OTP保护功能。支持通道串/并联配置，内置定时器可编程最多2048组输出参数。配备GPIB、USB、LAN和RS-232多种通信接口，支持SCPI远程控制，适用于教育实验室到研发工作台的各种应用场景。,ok
536,Rigol,直流电源,https://www.rigolna.com/products/dc-power-loads/dp800/,Rigol DP832 可编程线性直流电源,通道数: 3;总功率: 195W;CH1: 0-30V/3A(90W);CH2: 0-30V/3A(90W);CH3: 0-5V/3A(15W);纹波噪声: <350μVrms/2mVpp;瞬态响应: <50μs;接口: USB/LAN/RS-232,https://beyondmeasure.rigoltech.com/cdnr/forpci73/acton/attachment/1579/f-7df273a2-be90-4c09-8641-d8d24c2c34c5/1/-/-/-/-/DP832A.png,Rigol DP832是DP800系列三通道可编程线性直流电源，总功率195W，提供两路30V/3A和一路5V/3A输出。电压/电流分辨率均为1 mV/1 mA，负载调整率≤0.01%+2mV。具有超低纹波噪声(<350μVrms/2mVpp)，内置智能低噪声风扇控制。支持实时电压/电流波形监测、数据记录、远程感测(CH1/CH2)和定时输出功能。提供OVP/OCP保护，支持通道串并联操作和SCPI远程编程。,ok
